x1,x2,x3,x4,x5,x6,index
1,7,4,1,1,5,16849
3,3,0,6,3,5,52222
1,6,0,1,1,2,41084
2,2,0,4,0,0,44967
2,6,2,8,3,0,50142
1,7,4,8,3,0,2524
2,1,0,6,3,4,10237
0,6,1,5,4,3,18185
3,1,2,3,4,0,35264
0,4,1,7,5,3,33786
1,4,0,2,0,5,44877
0,1,1,7,1,4,44806
3,1,2,2,5,3,9647
3,1,1,7,1,5,38782
3,7,3,7,3,0,1
0,4,3,0,1,4,30815
2,0,3,4,3,2,39355
3,5,1,8,0,2,6363
3,7,3,4,4,5,14845
3,0,0,3,4,4,57851
2,5,0,4,2,5,57630
3,4,2,7,1,6,23129
2,7,2,4,0,3,45838
0,7,3,8,0,5,11400
3,1,4,6,1,2,32013
2,0,4,3,5,0,54571
1,2,0,0,0,5,50350
3,7,1,2,4,2,32358
0,2,3,4,2,6,19628
1,7,2,3,3,3,30383
2,6,0,7,0,6,46883
1,6,3,2,0,1,20468
1,6,1,3,1,3,47686
0,0,2,1,5,2,57051
2,1,3,2,0,1,16726
1,0,3,3,4,4,31917
0,2,0,0,1,0,3638
1,4,1,5,1,5,1101
1,1,2,5,5,5,33734
2,5,1,3,3,2,51249
3,6,4,7,3,5,44499
3,1,3,0,5,2,33220
0,0,0,7,5,3,46574
1,5,1,3,2,0,38604
3,7,3,3,4,6,33348
1,0,4,4,3,0,53075
3,7,1,7,4,1,4264
0,1,3,3,3,1,27714
2,0,0,4,5,2,7886
0,1,3,6,5,5,38909
2,7,2,6,4,4,37672
1,0,4,3,0,3,58706
1,5,3,0,2,0,13152
3,7,2,2,2,1,58209
1,5,1,6,4,2,13480
0,6,0,2,3,1,14448
2,3,4,5,1,3,24677
2,1,0,7,0,3,43832
3,2,4,1,2,6,34548
1,3,1,2,4,4,50275
2,3,0,2,2,5,2700
3,5,1,4,3,6,3071
1,0,0,4,1,6,22268
3,2,4,5,1,3,25786
0,2,3,7,5,3,50730
1,6,0,1,5,4,25958
0,6,1,0,0,4,31876
0,6,2,3,4,0,54579
2,2,1,7,0,2,37248
3,1,1,4,1,4,12996
1,4,4,6,0,3,46693
2,5,1,6,2,0,22922
0,1,1,7,1,2,48743
1,3,1,4,3,6,42139
0,5,0,1,4,3,43075
1,2,2,6,1,3,25563
2,5,3,4,5,6,49671
0,3,2,0,5,6,17226
3,1,4,0,0,5,32851
1,0,0,4,5,2,29977
0,2,4,8,1,6,3771
2,5,3,2,4,5,39418
1,2,3,0,5,6,25536
0,1,3,4,0,5,3612
2,4,1,3,5,1,39456
0,5,2,6,0,3,39429
0,4,0,3,3,6,36747
1,5,3,3,0,3,57436
1,1,1,2,3,1,44605
1,3,2,7,5,0,56067
2,2,0,6,5,2,25659
2,7,3,5,4,1,19017
2,5,2,2,3,5,51391
3,5,4,4,5,2,42929
2,7,1,8,2,0,35115
1,0,0,1,0,5,2111
1,3,1,6,0,6,21473
3,3,2,7,4,4,24801
1,0,4,7,2,6,45479
0,7,0,7,5,2,36984
1,7,2,3,0,3,55418
2,5,1,3,5,5,32838
0,3,2,1,3,5,32479
3,5,2,4,0,3,19281
2,4,1,8,4,4,35823
0,3,2,7,1,3,33514
3,7,1,5,1,6,4799
1,6,4,7,4,1,31424
1,1,2,4,4,1,18959
0,0,4,5,3,2,13275
2,6,3,3,0,4,12221
1,4,4,1,5,6,18389
0,0,0,5,2,1,3208
0,2,1,5,4,3,17826
3,1,3,2,2,6,54540
1,3,3,0,4,6,49364
1,5,0,8,1,6,38318
2,0,3,6,4,4,54490
0,6,3,8,5,5,58498
0,0,2,6,3,6,55113
1,3,0,5,0,0,31335
2,4,4,4,3,3,24903
3,6,2,8,3,3,48789
0,1,3,5,4,1,32888
2,5,3,2,1,3,40579
1,1,2,4,3,5,21407
0,5,2,8,3,5,10928
3,4,3,0,0,6,60185
3,2,2,1,4,3,35947
3,5,3,4,3,1,35664
1,0,3,2,1,5,36546
3,2,0,5,3,3,34181
1,2,0,8,2,0,32899
1,2,3,8,3,2,8367
2,2,2,2,5,4,57561
0,0,0,1,1,3,27239
2,5,3,7,2,3,53602
1,1,1,0,4,3,2745
3,3,4,5,3,6,30895
2,3,4,7,4,0,57061
3,6,0,6,5,2,38601
0,6,3,1,1,2,59081
1,0,3,6,0,0,42091
2,6,1,8,3,3,52993
1,6,3,8,5,6,50007
1,3,1,3,1,1,5102
0,2,3,6,4,6,6852
0,5,1,4,1,3,1031
1,7,4,3,2,2,13362
0,7,3,3,3,1,48344
0,6,4,8,3,1,5319
1,0,2,3,3,0,13096
0,2,2,4,5,4,43513
1,4,2,6,3,0,44525
1,5,3,1,5,6,990
3,2,1,4,2,3,35957
2,6,0,4,2,5,22689
2,4,1,3,2,0,44946
3,4,0,6,2,1,56217
3,7,4,3,1,0,16771
2,5,0,0,5,5,39795
0,6,3,3,5,1,16968
1,6,4,2,1,5,51579
3,4,4,1,0,3,44048
1,2,3,3,3,5,17404
2,7,1,2,4,0,53603
0,6,4,2,3,5,41197
3,3,1,4,3,0,57499
1,6,1,0,1,3,10490
2,5,4,2,2,4,55824
1,0,2,0,0,3,13076
2,5,3,3,2,0,194
3,1,4,2,0,3,51498
0,6,2,7,4,2,819
1,3,2,6,5,4,55901
0,0,2,6,0,2,35689
2,3,0,0,0,1,33816
2,0,3,4,1,4,28812
2,6,4,4,2,4,37493
0,3,4,1,0,5,60449
0,6,4,6,3,1,46573
1,5,1,6,2,0,50028
2,7,1,2,2,5,27127
0,3,0,5,0,2,7240
3,2,3,0,3,3,36369
1,4,1,1,3,6,37811
1,5,3,1,2,0,16945
0,0,4,0,4,2,32077
0,4,3,1,0,3,21177
2,2,3,4,1,0,35418
2,6,4,2,5,6,21918
0,0,4,7,1,1,37528
0,3,3,8,3,6,662
2,5,4,5,1,0,33447
3,5,4,1,0,0,25338
1,0,0,4,4,0,42613
2,5,4,8,4,1,52006
2,2,2,5,5,6,56126
0,0,2,0,1,1,43159
2,1,2,7,1,5,55641
1,6,3,1,0,4,16125
3,0,4,3,2,6,13305
0,7,1,3,5,3,50214
2,7,2,2,4,1,9166
0,1,2,6,3,0,7318
2,7,2,0,4,5,10134
1,5,2,5,0,3,16569
1,7,3,3,5,2,14164
0,6,0,2,2,6,40557
0,5,4,5,5,2,22860
1,0,2,4,1,2,49769
0,7,2,3,1,6,52611
0,1,2,8,1,1,14675
0,0,1,8,4,4,1708
1,7,3,3,0,6,57702
1,1,4,8,1,0,57088
1,0,4,8,0,3,56317
3,3,1,0,2,1,1439
3,2,4,6,4,2,59415
2,2,2,1,3,4,17447
2,6,2,0,1,6,56233
1,1,0,1,2,3,27517
3,0,0,0,1,1,18077
3,3,1,0,5,3,57104
1,5,3,2,1,4,9867
3,3,3,2,1,2,27544
3,1,2,4,3,2,57775
1,4,4,8,0,4,12992
3,7,3,4,2,5,32674
2,2,1,4,5,1,2802
2,5,0,5,3,0,45079
1,1,3,6,3,5,27637
3,2,4,8,1,1,8474
2,3,4,5,4,5,35777
3,1,1,2,5,1,41394
3,2,3,6,2,4,31636
3,5,3,3,5,0,462
3,1,3,3,5,6,33113
3,2,4,6,4,3,46295
3,7,2,1,0,0,42431
2,7,0,7,1,6,16186
0,6,3,5,4,4,49370
0,5,3,1,1,4,12156
2,6,0,3,2,6,27532
1,6,4,7,5,2,28001
2,7,2,8,2,0,45412
2,7,1,2,4,4,45017
3,6,2,8,3,4,32870
2,5,2,1,2,0,20401
2,5,3,5,1,4,36695
2,3,1,5,0,4,23731
0,0,3,8,5,1,49130
2,6,1,4,2,3,26648
0,5,3,4,2,1,3280
0,1,0,0,5,5,1008
3,0,2,2,1,4,21403
1,2,0,1,5,6,9790
3,7,2,6,0,2,7617
1,2,4,4,3,1,18919
1,7,0,6,1,0,10066
0,2,4,0,5,5,30067
3,7,3,4,0,3,43741
0,1,4,4,5,0,45572
0,6,4,6,0,6,37149
3,5,3,1,2,2,20905
0,7,3,6,4,2,32382
3,6,2,2,0,6,40290
3,6,3,6,1,5,44117
3,1,1,3,2,2,41426
3,0,2,7,4,0,7458
0,6,1,1,5,1,58200
0,5,4,8,4,6,24149
0,2,3,5,3,4,53941
3,1,2,5,2,2,5197
1,7,0,2,2,6,11375
0,0,0,6,5,0,10385
1,5,3,2,1,5,21986
0,5,2,3,1,6,5765
2,5,1,7,0,4,48966
3,1,1,4,5,3,34851
2,6,2,3,4,3,44711
0,4,2,3,4,3,56231
2,7,2,0,3,3,29490
0,2,2,8,4,6,11650
2,3,1,4,3,5,55882
0,3,4,3,5,1,34574
1,7,3,5,0,4,3745
0,4,4,4,1,4,6073
2,3,4,4,4,3,23207
3,7,0,0,2,4,639
2,0,1,0,2,6,12865
3,2,0,3,4,3,27666
3,1,3,1,5,1,47993
1,3,4,0,3,3,55190
3,4,1,3,2,1,25740
2,1,1,6,4,6,33238
0,6,1,1,5,2,14397
0,6,4,1,5,1,53289
3,0,2,2,4,5,551
3,7,2,1,2,3,38532
1,0,3,6,2,0,46079
3,5,4,1,2,6,43454
2,7,0,5,4,3,20802
0,6,0,8,3,5,58341
3,4,3,0,4,4,58305
2,5,1,0,2,5,1452
2,7,1,2,1,5,4014
2,5,2,8,4,6,19120
0,4,2,7,2,6,38249
3,1,3,8,1,6,52597
2,6,0,1,5,3,48792
1,6,0,2,1,5,17748
1,1,1,0,2,6,4100
2,3,0,6,4,3,41239
0,0,0,3,2,6,31795
1,3,2,4,3,0,31767
0,6,4,5,1,0,21994
2,2,4,5,2,6,27098
0,0,1,6,5,3,36641
2,3,0,5,1,4,9007
1,3,1,0,5,4,33911
2,1,1,4,2,5,51616
2,7,4,2,2,6,12
2,7,0,1,5,6,24733
1,6,1,3,5,4,56613
2,6,3,8,3,0,161
1,1,1,8,1,6,38517
1,3,3,4,1,4,36147
3,3,1,5,4,1,51991
1,1,2,2,2,3,12547
3,6,1,1,4,5,14659
0,6,2,7,1,2,32725
0,4,2,4,4,5,47604
3,1,0,7,0,4,13892
1,7,2,7,0,2,236
1,1,3,3,4,1,47465
1,7,2,3,4,3,45743
1,5,0,6,0,3,6732
2,0,1,3,4,0,45169
3,7,3,1,0,2,56609
3,6,1,8,5,0,5329
2,1,2,2,0,6,13113
3,3,4,4,2,1,19219
1,6,0,7,3,4,10076
0,4,4,0,5,3,18662
2,2,3,6,0,2,55578
0,2,1,6,3,5,18687
0,7,2,7,1,2,54024
0,3,0,3,4,2,42558
3,6,3,1,1,5,17239
1,0,4,1,2,4,27270
1,6,1,7,3,4,29782
0,0,2,8,3,0,52275
2,3,0,8,3,3,4247
1,7,1,2,1,5,28384
2,3,1,5,1,3,31381
3,1,3,3,5,0,53748
2,2,2,0,1,2,10531
3,3,4,6,3,4,30420
0,6,1,7,2,5,19055
0,2,4,8,4,3,6665
0,5,0,5,1,4,13017
0,0,2,7,4,3,25774
3,0,0,3,4,2,1016
3,2,4,8,0,6,31746
3,0,2,3,4,2,59090
2,6,4,5,1,2,48639
2,7,4,1,4,4,25209
0,6,0,3,4,3,52063
1,4,2,6,0,5,12333
1,0,0,4,4,2,37941
0,1,3,4,3,2,25597
0,4,3,8,3,6,20472
2,2,2,0,0,4,35465
0,1,3,0,0,3,15173
3,5,2,2,5,1,44960
0,0,3,6,4,6,9805
0,7,3,5,4,3,31350
0,7,1,7,1,2,31437
2,0,1,8,4,0,23459
0,2,4,1,4,0,12912
2,7,4,7,3,3,35982
3,1,1,4,3,6,18483
1,2,4,6,1,2,52781
2,4,1,8,5,0,25698
1,6,4,0,3,5,24968
3,2,0,8,4,6,23462
2,5,3,4,4,0,21758
1,4,3,6,2,1,22189
1,1,4,4,0,6,41327
0,0,3,8,3,3,39634
1,5,0,0,5,3,48690
2,1,4,2,4,5,29127
0,1,4,6,0,0,19298
2,3,3,2,1,2,45792
2,4,0,8,1,5,15001
3,6,3,0,2,3,12922
2,7,1,4,1,6,45798
1,2,1,6,3,6,15134
2,4,4,2,1,3,19266
0,1,2,8,4,2,10671
2,2,3,6,3,0,37826
2,2,4,3,5,2,16414
0,2,0,3,3,6,56728
2,4,4,7,3,0,11684
0,3,2,1,2,5,7794
0,5,1,6,3,2,27896
3,7,3,8,1,0,58594
1,3,0,0,2,1,44976
3,1,0,7,2,0,2985
3,4,3,0,2,5,20896
2,7,2,7,4,4,36159
1,2,3,7,3,5,33659
2,5,2,8,0,2,44148
3,5,1,4,5,0,22650
2,2,0,6,0,2,55307
2,6,3,2,4,2,4612
3,0,4,6,1,6,42454
3,5,1,3,3,6,27905
1,6,0,4,4,2,1020
3,4,1,1,1,6,25352
2,1,0,0,0,3,47255
2,2,0,4,1,4,2485
2,3,3,2,5,1,9216
1,2,3,5,0,1,53995
3,1,3,8,5,6,12244
2,6,2,7,3,4,46464
0,0,2,8,4,3,50400
0,4,4,4,2,4,57599
0,5,3,5,5,6,36237
2,6,2,4,2,2,18376
1,3,2,1,3,1,11722
3,0,1,1,4,6,44594
2,3,0,8,2,2,31721
3,2,3,1,4,0,52820
0,0,0,0,4,6,27674
1,3,2,1,4,5,52327
3,1,4,6,5,6,34213
1,1,2,7,2,3,37733
0,6,0,1,5,2,11665
0,0,0,7,3,1,3922
2,6,4,0,2,2,34953
3,2,0,2,0,6,4174
2,3,4,7,2,4,21621
1,6,1,5,5,6,2092
3,3,3,2,5,0,16982
3,5,3,3,3,5,51169
2,2,2,2,4,2,41580
1,2,1,8,0,5,57345
2,7,0,3,1,3,28425
0,1,0,0,0,6,10403
3,6,3,0,1,1,3976
2,6,1,3,0,5,22282
3,5,3,8,1,3,16633
1,3,0,8,0,5,22505
3,2,2,4,1,0,44999
2,7,4,4,3,6,39994
1,3,1,2,0,0,13278
2,5,4,0,3,0,35119
3,7,2,0,0,0,33902
2,6,2,2,3,2,591
1,6,2,2,2,4,43772
1,0,0,6,0,3,43742
1,0,0,6,3,0,28465
0,7,0,5,3,5,33569
0,4,4,3,3,1,25656
0,3,3,5,2,0,23881
1,5,1,5,0,6,20885
0,5,4,8,5,2,1060
3,7,4,8,4,1,29179
0,2,4,1,1,5,52916
3,1,0,3,3,3,28705
0,6,0,0,0,1,37104
0,6,2,4,4,1,59996
0,6,3,8,1,0,35081
0,1,3,5,3,5,2944
0,7,1,7,5,2,235
2,7,1,5,1,2,40142
3,3,4,0,3,4,60266
0,5,2,1,0,1,37082
3,4,0,3,0,3,12858
1,0,3,8,2,0,10457
1,1,3,6,4,0,38569
0,6,0,0,5,5,55057
1,2,0,8,4,3,34373
2,3,2,0,5,3,38070
1,2,3,0,3,3,48921
2,2,1,4,5,2,33490
1,1,2,5,4,5,50302
3,7,1,6,5,3,47576
0,4,3,7,5,4,54951
1,2,3,2,3,0,51537
0,2,3,4,1,2,35457
2,0,2,0,1,2,1887
1,0,0,2,0,1,43755
0,4,4,5,5,5,28463
1,4,4,4,5,3,16380
2,4,0,7,2,1,13479
0,1,4,5,3,5,24972
2,2,0,7,3,2,18704
0,7,0,4,3,0,57351
1,0,4,0,0,5,59007
2,2,1,6,5,0,46062
1,0,3,6,4,1,26727
1,2,2,8,5,3,18455
3,6,3,5,4,1,23554
1,4,4,2,5,5,19433
2,5,2,7,3,6,31024
1,7,0,1,5,2,38696
0,7,0,6,1,3,27932
0,2,2,4,1,0,53589
2,0,0,3,2,3,34924
0,5,0,2,5,0,5756
1,0,3,7,5,4,30374
0,3,4,0,1,6,7273
1,7,0,2,1,1,35979
1,0,0,5,4,3,11688
2,4,2,2,5,0,44903
0,7,1,8,4,0,14667
0,1,2,7,3,2,5417
2,1,3,2,4,6,10670
1,6,4,5,0,4,3012
0,3,2,4,1,3,48519
3,1,4,2,3,4,49928
0,0,3,3,1,1,57500
2,3,0,2,1,6,18648
2,4,4,2,0,2,39183
0,6,1,6,5,4,58711
2,4,1,8,0,5,55536
3,0,3,4,0,6,27419
2,6,3,0,3,6,29348
1,1,3,3,1,6,31579
3,1,2,1,0,2,16692
1,5,0,0,1,6,54260
0,7,3,5,3,5,28733
1,5,2,0,0,6,18933
3,3,1,7,3,4,11547
0,0,4,5,3,1,35397
0,4,3,3,5,6,59453
1,7,4,8,0,0,55264
1,4,3,1,3,6,17507
3,1,3,8,0,0,14307
2,6,1,2,1,3,48283
0,3,2,6,3,3,26691
1,5,3,3,5,0,11643
2,4,1,0,0,4,37412
3,3,1,1,0,2,16084
1,2,2,3,1,0,21848
0,2,2,5,5,3,1498
2,6,2,3,5,3,31738
2,2,1,2,2,6,41643
0,5,3,6,4,5,55315
2,4,1,7,3,4,28937
1,7,2,5,4,0,8633
2,5,2,1,2,6,44100
0,2,1,6,1,2,47144
0,1,1,4,1,3,35241
1,5,2,2,4,3,32553
3,1,0,3,3,6,39502
2,2,3,2,4,5,60195
3,4,4,5,2,6,45715
1,4,1,5,5,4,19895
0,7,1,8,1,5,42986
1,6,2,0,5,0,32993
1,5,2,1,2,2,43229
0,4,0,1,3,2,28072
3,1,2,7,2,1,23762
2,4,1,1,2,3,20230
3,0,2,3,1,4,60329
2,5,3,4,0,1,22075
3,5,2,8,4,6,5839
0,4,1,2,4,5,34505
1,1,0,0,5,5,58455
3,2,4,0,1,6,2937
0,6,4,3,0,0,1686
1,0,1,2,5,3,28220
2,3,1,1,4,5,36893
2,5,4,7,1,3,31091
3,5,0,8,4,4,59119
2,5,1,4,5,2,52586
1,5,4,1,1,2,34311
0,5,0,1,5,3,39372
0,1,0,2,0,6,6446
1,4,2,3,3,6,35378
0,0,0,8,0,3,19172
1,4,1,8,3,4,46601
3,4,3,8,3,4,11785
2,3,3,6,1,0,39956
3,6,3,4,4,2,7583
1,1,4,1,0,4,42094
0,6,3,3,0,6,45996
1,3,0,3,5,1,28066
3,7,3,2,0,0,50673
3,4,3,6,3,1,3979
0,3,0,5,0,6,14483
2,5,4,4,0,2,41423
1,0,2,2,4,3,44791
1,4,1,1,4,6,45974
0,7,0,2,2,0,17076
3,3,3,3,3,4,19970
3,2,4,7,1,4,50000
3,4,2,2,3,4,51183
3,3,0,8,3,5,54736
1,4,1,5,0,4,25389
0,6,0,5,1,2,48492
2,4,1,7,5,1,11621
1,2,2,8,4,2,58178
3,7,1,3,2,3,52225
0,2,4,8,4,2,50205
0,4,3,6,1,4,43352
3,3,3,6,3,4,22361
2,4,3,4,2,4,17849
2,1,3,7,1,6,9461
3,7,1,4,3,1,41869
1,6,2,4,4,1,9508
2,0,1,3,4,5,40947
2,1,0,5,2,1,37937
0,2,4,2,0,4,44901
2,2,1,0,1,2,60400
3,4,4,4,2,0,8436
2,7,0,5,5,1,54766
2,2,2,7,0,5,53490
0,0,0,0,3,5,13191
3,2,4,7,4,6,13672
1,6,0,2,4,5,31830
3,2,2,0,0,2,44931
0,2,4,1,1,3,33170
1,7,1,3,5,0,21984
1,4,1,7,2,6,58384
3,2,2,2,3,4,47567
3,7,2,5,1,1,22903
1,7,4,1,0,2,31294
1,3,1,6,2,1,10715
0,1,4,1,3,1,47658
2,7,1,0,0,1,45593
0,4,2,4,3,5,13188
3,0,3,2,4,6,9868
1,7,2,4,1,4,39423
3,7,3,1,2,2,52055
0,5,4,6,5,1,42053
2,3,4,7,5,5,8719
3,1,3,1,2,5,22323
2,1,3,4,5,1,14990
3,7,0,2,5,1,7089
1,7,4,0,2,0,40178
0,6,0,1,4,3,8761
3,4,2,4,2,6,18619
2,7,3,2,1,5,44681
2,5,1,8,4,5,25056
3,7,0,6,5,2,20783
3,7,4,6,2,3,58734
1,5,3,7,4,3,10634
0,7,1,4,2,5,60307
0,4,1,3,2,2,46960
3,0,1,1,4,1,18011
1,1,2,2,1,3,38779
1,7,2,8,4,5,57942
3,4,0,2,3,1,43884
2,2,3,5,3,0,44940
2,5,2,6,4,1,5822
1,7,0,6,3,5,54876
0,0,1,6,2,6,31690
0,1,2,2,5,1,39138
1,3,3,4,4,4,6596
3,3,2,5,0,2,38929
3,3,1,0,4,0,42761
1,4,1,5,3,3,49839
1,4,0,6,3,2,20930
1,2,1,5,2,2,54367
1,3,0,2,5,2,21817
1,2,2,1,0,4,24084
0,7,3,3,1,6,27725
0,6,4,8,1,6,8390
0,2,3,2,5,6,31380
1,5,3,0,1,2,55349
0,4,2,1,3,1,57801
1,1,0,5,5,1,12374
2,6,3,8,1,6,22083
2,4,3,5,5,0,32194
3,4,1,7,2,2,17333
3,5,4,7,5,3,37506
0,0,3,1,2,3,38142
1,5,2,1,1,1,3048
2,1,2,0,3,1,46140
2,3,2,2,3,6,47850
1,1,2,7,0,2,28287
2,0,4,3,3,0,31582
0,5,3,2,5,4,28958
2,5,0,4,5,0,38362
2,0,4,0,4,3,4021
2,3,3,5,5,1,57368
0,0,4,1,1,6,7504
2,6,0,3,4,1,42425
3,6,2,2,1,1,12689
0,1,1,5,3,4,1864
2,4,4,4,4,4,34058
2,6,1,1,1,2,25238
1,2,3,6,3,0,53764
3,4,3,5,3,2,45621
1,0,0,7,1,2,24800
